Player Name,Team,Nationality,Player_Type,Capped,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches,Run_outs,Stumps
Jason Holder,Lucknow,Overseas,Allrounder,1,26,189,14.54,121.15,35,22.46,8.2,16.43,,,
Harshal Patel,Bangalore,Indian,Allrounder,1,63,187,11,134.53,78,23.18,8.58,16.21,,,
Deepak Hooda,Lucknow,Indian,Allrounder,1,80,785,16.7,129.54,9,50.89,8.46,36.11,,,
Wanindu Hasaranga,Bangalore,Overseas,Allrounder,0,34,332,15.1,119.8,55,13.7,6.3,12.9,10,2,0
Washington Sundar,Hyderabad,Indian,Allrounder,1,42,217,14.47,111.28,27,32.11,6.94,27.78,,,
Krunal Pandya,Lucknow,Indian,Allrounder,1,84,1143,22.41,138.55,51,34.76,7.37,28.31,,,
Mitchell Marsh,Delhi,Overseas,Allrounder,1,21,225,17.31,114.21,20,21,7.9,15.95,,,
Riyan Parag,Rajasthan,Indian,Allrounder,1,30,339,16.95,118.53,3,73.67,9.97,44.33,,,
Abhishek Sharma ,Hyderabad,Indian,Allrounder,1,22,241,17.21,139.31,7,25.14,8,18.86,,,
Sarfaraz Khan ,Delhi,Indian,Allrounder,1,40,441,23.21,138.21,,,,,,,
Shahrukh Khan ,Punjab,Indian,Allrounder,1,11,153,21.8,134.21,,,,,,,
Shivam Mavi,Kolkata,Indian,Allrounder,1,26,48,6.8,97.9,25,28.6,8.3,20.68,,,
Rahul Tewatia,Gujarat,Indian,Allrounder,1,48,521,23.68,124.34,32,31.88,7.71,24.81,,,
Kamlesh Nagarkoti,Delhi,Indian,Allrounder,1,11,22,5.5,66.67,5,51.2,9.14,33.6,,,
Harpreet Brar,Punjab,Indian,Allrounder,1,10,84,,120,5,45.5,7.12,38.4,,,
Shahbaz Ahamad,Bangalore,Indian,Allrounder,1,13,60,8.57,111.11,9,15.1,6.8,13.33,,,
Liam Livingstone,Punjab,Overseas,Allrounder,1,9,112,14,125.84,,,,,,,
Dominic Drakes,Gujarat,Overseas,Allrounder,0,4,5,2.5,71.43,2,70,10.77,39,,,
Jayanth Yadav,Gujarat,Indian,Allrounder,1,19,40,10,111.11,8,52.38,6.87,45.75,,,
Vijay Shankar,Gujarat,Indian,Allrounder,1,47,712,26.37,126.24,9,36.56,8.62,25.44,,,
Odean Smith ,Punjab,Overseas,Allrounder,0,8,49,12.25,163.33,7,33.86,10.77,18.86,,,
Marco Jensen,Hyderabad,Overseas,Allrounder,1,2,,,,2,22.5,7.5,18,,,
Shivam Dube,Chennai,Indian,Allrounder,1,24,399,22.17,120.54,4,32.5,8.3,23.5,,,
K Gowtham ,Lucknow,Indian,Allrounder,1,24,186,14.31,169.09,13,43.23,8.26,31.38,,,
Lalit Yadav,Delhi,Indian,Allrounder,1,7,68,34,93.15,4,25.25,7.21,21,,,
Ripal Patel,Delhi,Indian,Allrounder,1,2,25,25,92.59,,,7.33,,,,
Yash Dhull,Delhi,Indian,Allrounder,2,,,,,,,,,,,
N Tilak Varma ,Mumbai,Indian,Allrounder,0,15,381,29.3,143.8,,,9.255,,,,
Mahipal Lomror,Bangalore,Indian,Allrounder,1,11,181,22.62,119.87,1,74,7.48,60,,,
Anukul Roy,Kolkata,Indian,Allrounder,0,31,304,21.7,141.4,19,36.5,7.09,30.9,,,
Darshan Nalkande,Gujarat,Indian,Allrounder,0,22,73,7.3,85.9,43,12.8,7.25,10.6,,,
Sanjay Yadav,Mumbai,Indian,Allrounder,0,27,494,27.4,124.1,16,27.9,6.65,27.1,,,
Raj Angad Bawa,Punjab,Indian,Allrounder,2,,,,,,,,,,,
Rajvardhan Hangargekar,Chennai,Indian,Allrounder,2,,,,,,,,,,,
Jofra Archer,Mumbai,Overseas,Allrounder,1,35,195,15,157.26,46,21.33,7.13,17.93,,,
Rishi Dhawan,Punjab,Indian,Allrounder,1,26,153,21.86,113.33,18,35.56,7.87,27.11,,,
Dwaine Pretorius,Chennai,Overseas,Allrounder,0,22,170,24.29,161.9,23,19.48,7.77,15.04,,,
Sherfane Rutherford,Bangalore,Overseas,Allrounder,1,7,73,14.6,135.19,1,59,8.63,41,,,
Mithchel Santner ,Chennai,Overseas,Allrounder,1,6,32,32,139.13,6,24.5,7,21,,,
Romario Shepherd,Hyderabad,Overseas,Allrounder,0,14,117,58.5,160.27,12,32.92,11.34,17.43,,,
Tim David,Mumbai,Overseas,Allrounder,0,11,429,47.67,157.72,5,51,9.33,32.8,,,
Pravin Dubey,Delhi,Indian,Allrounder,0,22,126,14,102.4,20,22.3,7.13,18.8,,,
Prerak Mankad,Punjab,Indian,Allrounder,0,34,763,33.2,140.5,20,30.6,8.6,21.3,,,
Suyash Prabhudessai,Bangalore,Indian,Allrounder,0,22,443,31.6,148.2,2,63.5,7.47,51.1,,,
Ayush Bodani ,Lucknow,Indian,Allrounder,2,,,,,,,,,,,
Aneeshwar Gautam ,Bangalore,Indian,Allrounder,2,,,,,,,,,,,
Chamika Karunaratne ,Kolkata,Overseas,Allrounder,0,17,88,12.57,112.82,9,33.78,7.41,27.44,,,
Pradeep Sangwan ,Gujarat,Indian,Allrounder,1,39,24,3.43,61.54,35,33.57,8.79,22.91,,,
Writtick Chatterjee,Punjab,Indian,Allrounder,0,27,262,21.8,131,21,19.9,6.23,19.1,,,
Kyle Mayers,Lucknow,Overseas,Allrounder,0,4,96,32,160,,,10,,,,
Karan Sharma ,Lucknow,Indian,Allrounder,2,,,,,,,,,,,
Mohammad Arshad Khan ,Mumbai ,Indian,Allrounder,2,,,,,,,,,,,
Ansh Patel ,Punjab,Indian,Allrounder,2,,,,,,,,,,,
Anunay Singh ,Rajasthan,Indian,Allrounder,2,,,,,,,,,,,
Chris Jordan ,Chennai,Overseas,Allrounder,1,24,64,9.14,112.28,25,27.92,9.12,18.36,,,
Nathan Ellis,Punjab,Overseas,Allrounder,1,3,18,18,112.5,1,90,8.8,66,,,
Ramandeep Singh ,Mumbai,Indian,Allrounder,0,13,98,14,136.1,3,25.3,6.9,22,,,
Atharava Taide,Punjab,Indian,Allrounder,0,20,507,29.8,129.7,10,13.4,5.36,15,,,
Gurkeerat Singh ,Gujarat,Indian,Allrounder,1,41,511,21.3,121.1,5,19.4,7.46,15.6,,,
Benny Howell ,Punjab,Overseas,Allrounder,0,146,2055,23.4,129.5,150,21.8,6.92,18.2,,,
Hrithik Shokeen ,Mumbai,Indian,Allrounder,2,,,,,,,,,,,
Bhagath Varma ,Chennai,Indian,Allrounder,2,,,,,,,,,,,
Arjun Tendulkar ,Mumbai,Indian,Allrounder,2,,,,,,,,,,,
Shubham Garhwal ,Rajasthan,Indian,Allrounder,2,,,,,,,,,,,
Mohammad Nabi ,Kolkata,Overseas,Allrounder,1,17,180,15,151.26,13,31.38,7.14,26.38,,,
James Neesham,Rajasthan,Overseas,Allrounder,1,12,61,8.7,92.4,8,38.12,9.24,24.75,,,
Vicky Ostwal ,Delhi,Indian,Allrounder,2,,,,,,,,,,,
Daryl Mitchell,Rajasthan,Overseas,Allrounder,0,25,392,21.7,134.7,6,20.17,10.23,11.83,,,
Sai Sudharshan,Gujarat,Indian,Allrounder,0,7,177,35.4,116.4,,,,,,,
Fabian Allen ,Mumbai ,Overseas,Allrounder,1,4,6,6,50,1,90,8.18,66,,,
David WIlley,Bangalore,Overseas,Allrounder,1,3,0,0,0,2,47.5,9.5,30,,,
Aman Khan ,Kolkata,Indian,Allrounder,1,5,40,13.3,148.1,0,0,7,0,,,
Ravindra Jadeja ,Chennai,Indian,Allrounder,1,200,2386,27.11,128.14,127,30.05,7.61,23.68,,,
Andre Russell,Kolkata,Overseas,Allrounder,1,84,1700,29.31,178.57,72,26.4,9.05,17.51,,,
Rohit Sharma ,Mumbai,Indian,Batter,1,213,5611,31.17,130.4,15,30.2,8.02,22.6,,,
Rishabh Pant ,Delhi,Indian,Keeper,1,84,2498,35.18,147.46,,,,,56,5,14
Kane Williamson,Hyderabad,Overseas,Batter,1,63,1885,40.11,131.27,,,,,,,
Virat Kohli,Bangalore,Indian,Batter,1,207,6283,37.4,129.95,4,92,8.8,62.75,,,
Sanju Samson,Rajasthan,Indian,Keeper,1,121,3068,29.22,134.21,,,,,59,8,10
Arshdeep Singh ,Punjab,Indian,Bowler ,1,23,2,2,33.33,30,22.3,8.78,15.23,,,
Hardik Pandya,Gujarat,Indian,Allrounder,1,92,1476,27.33,153.91,42,31.26,9.07,20.69,,,
KL Rahul ,Lucknow,Indian,Batter,1,94,3273,47.43,136.38,,,,,50,4,5
MS Dhoni,Chennai,Indian,Keeper,1,220,4746,39.5,135.8,,,,,126,21,39
Varun Chakravarthy,Kolkata,Indian,Bowler ,1,31,12,4,63,36,23.31,6.82,20.5,,,
Jasprit Bumrah,Mumbai,Indian,Bowler ,1,106,56,11.2,96.55,130,23.05,7.42,18.63,,,
Prithvi Shaw,Delhi,Indian,Batter,1,53,1305,24.62,146.3,,,,,,,
Abdul Samad,Hyderabad,Indian,Batter,1,23,222,15.86,146.02,2,52.5,13.12,24,,,
Glen Maxwell,Bangalore,Overseas,Allrounder,1,97,2018,25.23,151.84,22,41.59,8.55,29.18,,,
Jos Butler,Rajasthan,Overseas,Keeper,1,65,1968,35.14,150,,,,,34,3,1
Mayank Agarwal,Punjab,Indian,Batter,1,100,2135,23.46,135.73,,,,,,,
Rashid Khan,Gujarat,Overseas,Allrounder,1,76,222,9.255,137.04,93,20.56,6.33,19.48,,,
Marcus Stoinis,Lucknow,Overseas,Allrounder,1,56,914,27.7,135.81,30,32.3,9.5,20.4,,,
Moeen Ali,Chennai,Overseas,Allrounder,1,34,666,22.97,146.37,16,29.31,6.85,25.69,,,
Venkatesh Iyer,Kolkata,Indian,Allrounder,1,10,370,41.11,128.47,3,23,8.12,17,,,
Suryakumar Yadav,Mumbai,Indian,Batter,1,115,2341,28.9,135.71,,,,,,,
Axar Patel,Delhi,Indian,Allrounder,1,109,953,17.3,125.33,95,29.07,7.22,24.16,,,
Umran Malik,Hyderabad,Indian,Bowler ,2,,,,,,,,,,,
Yashasvi Jaiswal,Rajasthan,Indian,Batter,1,13,289,22.23,136.32,,,,,,,
Shubman Gill,Gujarat,Indian,Batter,1,58,1417,31.49,123,,,,,,,
Ravi Bishnoi,Lucknow,Indian,Bowler ,1,23,8,4,50,24,25.25,6.97,21.75,,,
Ruturaj Gaikwad,Chennai,Indian,Batter,1,22,839,46.61,132.13,,,,,,,
Sunil Narine ,Kolkata,Overseas,Allrounder,1,134,954,15.64,161.69,143,24.53,6.74,21.83,,,
Kieron Pollard ,Mumbai,Overseas,Allrounder,1,178,3268,29.98,149.77,65,31.62,8.78,21.6,,,
Anrich Nortje,Delhi,Overseas,Bowler ,1,24,7,7,116.67,34,20.56,7.65,16.12,,,
